child_adult,consult_type_group,contact_activity_group,reason_for_ref,care_contacts,prop
Adult,Face-to-face,Assessment/Tests,Wound care,2437,18.3
Adult,Face-to-face,Assessment/Tests,Diabetes,1462,10.98
Adult,Face-to-face,Assessment/Tests,Haematology/phlebotomy,1278,9.6
Adult,Face-to-face,Assessment/Tests,Foot care/problems,821,6.17
Adult,Face-to-face,Assessment/Tests,Musculoskeletal problems,801,6.02
Adult,Face-to-face,Assessment/Tests,Mobility problems,762,5.72
Adult,Face-to-face,Assessment/Tests,End of life support,681,5.11
Adult,Face-to-face,Assessment/Tests,Leg ulcer,607,4.56
Adult,Face-to-face,Assessment/Tests,Other,601,4.51
Adult,Face-to-face,Assessment/Tests,Bladder care,564,4.24
Adult,Face-to-face,Assessment/Tests,Falls risk,532,4
Adult,Face-to-face,Assessment/Tests,Continence problems,522,3.92
Adult,Face-to-face,Assessment/Tests,Pressure ulcer,352,2.64
Adult,Face-to-face,Assessment/Tests,Blood disorders,335,2.52
Adult,Face-to-face,Assessment/Tests,Equipment provision,326,2.45
Adult,Face-to-face,Assessment/Tests,Respiratory conditions,219,1.64
Adult,Face-to-face,Assessment/Tests,Rehabilitation,192,1.44
Adult,Face-to-face,Assessment/Tests,Catheter problems,182,1.37
Adult,Face-to-face,Assessment/Tests,Neurological problems,181,1.36
Adult,Face-to-face,Assessment/Tests,Accident/trauma,175,1.31
Adult,Face-to-face,Assessment/Tests,Speech and language problems,145,1.09
Adult,Face-to-face,Assessment/Tests,Cancer,140,1.05
Adult,Face-to-face,Clinical Intervention,Wound care,6151,24.54
Adult,Face-to-face,Clinical Intervention,Diabetes,4154,16.57
Adult,Face-to-face,Clinical Intervention,Haematology/phlebotomy,3723,14.85
Adult,Face-to-face,Clinical Intervention,Other,1849,7.38
Adult,Face-to-face,Clinical Intervention,Leg ulcer,1642,6.55
Adult,Face-to-face,Clinical Intervention,Bladder care,1182,4.71
Adult,Face-to-face,Clinical Intervention,Musculoskeletal problems,940,3.75
Adult,Face-to-face,Clinical Intervention,Blood disorders,864,3.45
Adult,Face-to-face,Clinical Intervention,Pressure ulcer,810,3.23
Adult,Face-to-face,Clinical Intervention,Foot care/problems,777,3.1
Adult,Face-to-face,Clinical Intervention,End of life support,743,2.96
Adult,Face-to-face,Clinical Intervention,Falls risk,700,2.79
Adult,Face-to-face,Clinical Intervention,Mobility problems,462,1.84
Adult,Face-to-face,Clinical Intervention,Catheter problems,418,1.67
Adult,Face-to-face,Clinical Intervention,Continence problems,398,1.59
Adult,Face-to-face,Clinical Intervention,Post operative care,257,1.03
Adult,Face-to-face,Health visitor,Wound care,21,20.39
Adult,Face-to-face,Health visitor,Diabetes,18,17.48
Adult,Face-to-face,Health visitor,Haematology/phlebotomy,16,15.53
Adult,Face-to-face,Health visitor,Bladder care,8,7.77
Adult,Face-to-face,Health visitor,End of life support,7,6.8
Adult,Face-to-face,Health visitor,Blood disorders,5,4.85
Adult,Face-to-face,Health visitor,Foot care/problems,5,4.85
Adult,Face-to-face,Health visitor,Mobility problems,5,4.85
Adult,Face-to-face,Health visitor,Other,4,3.88
Adult,Face-to-face,Health visitor,Continence problems,3,2.91
Adult,Face-to-face,Health visitor,Neurological problems,3,2.91
Adult,Face-to-face,Health visitor,Equipment provision,2,1.94
Adult,Face-to-face,Health visitor,Leg ulcer,2,1.94
Adult,Face-to-face,Health visitor,Pressure ulcer,2,1.94
Adult,Face-to-face,Health visitor,Respiratory conditions,2,1.94
Adult,Face-to-face,Other,Musculoskeletal problems,1415,33.68
Adult,Face-to-face,Other,Diabetes,528,12.57
Adult,Face-to-face,Other,Wound care,434,10.33
Adult,Face-to-face,Other,Other,253,6.02
Adult,Face-to-face,Other,Mobility problems,228,5.43
Adult,Face-to-face,Other,Haematology/phlebotomy,226,5.38
Adult,Face-to-face,Other,Continence problems,204,4.86
Adult,Face-to-face,Other,Falls risk,161,3.83
Adult,Face-to-face,Other,Foot care/problems,131,3.12
Adult,Face-to-face,Other,Accident/trauma,91,2.17
Adult,Face-to-face,Other,Bladder care,90,2.14
Adult,Face-to-face,Other,Respiratory conditions,90,2.14
Adult,Face-to-face,Other,End of life support,85,2.02
Adult,Face-to-face,Other,Leg ulcer,79,1.88
Adult,Face-to-face,Other,Equipment provision,72,1.71
Adult,Face-to-face,Other,Blood disorders,67,1.59
Adult,Face-to-face,Other,Neurological problems,47,1.12
Adult,Face-to-face,Unknown,Foot care/problems,853,20.47
Adult,Face-to-face,Unknown,Wound care,660,15.84
Adult,Face-to-face,Unknown,Diabetes,561,13.46
Adult,Face-to-face,Unknown,Musculoskeletal problems,528,12.67
Adult,Face-to-face,Unknown,Leg ulcer,351,8.42
Adult,Face-to-face,Unknown,Other,275,6.6
Adult,Face-to-face,Unknown,Haematology/phlebotomy,180,4.32
Adult,Face-to-face,Unknown,Bladder care,146,3.5
Adult,Face-to-face,Unknown,Respiratory conditions,126,3.02
Adult,Face-to-face,Unknown,End of life support,124,2.98
Adult,Face-to-face,Unknown,Blood disorders,111,2.66
Adult,Face-to-face,Unknown,Mobility problems,74,1.78
