month,GP_consultations,antenatal_apps,antenatel_scans,diag_ct,diag_ecg,diag_flexi_sig,diag_mri,diag_other,diag_uss,diag_echo,mh_community,mh_outpatient,mh_primary_care,iapt_face_to_face,iapt_other,shropcom_contacts,shropcom_domiciliary_contacts,opa_contrast,opa_ct,opa_mri,opa_no_imaging,opa_uss,opa_xray,ASC_place_holder
2016-01-01,0,352,132,0,0,0,0,0,0,0,2029,162,38,0,0,0,0,2,135,130,9366,143,483,1368.546
2016-02-01,0,400,150,0,0,0,0,0,0,0,1885,135,19,0,0,0,0,6,110,118,9444,123,340,1343.015
2016-03-01,0,296,111,0,0,0,0,0,0,0,1877,147,36,0,0,0,0,6,95,126,9839,128,365,1374.2430000000002
2016-04-01,0,280,105,399.872,1.024,21.888,185.08800000000002,175.872,431.616,0,2128,138,32,457,120,0,0,6,105,122,9578,138,348,1558.48398
2016-05-01,0,416,156,383.872,1.024,15.616,197.632,144,442.624,0,2028,131,27,401,158,0,0,0,122,119,9313,136,371,1536.3720240000002
2016-06-01,0,240,90,413.824,1.792,23.68,192.64,161.66400000000002,499.072,0,2655,148,18,420,110,0,0,2,109,103,9721,143,393,1629.412896
2016-07-01,0,368,138,406.016,1.792,21.76,198.016,171.008,479.744,0,2467,113,15,355,126,0,0,5,137,114,8895,143,332,1528.308448
2016-08-01,0,360,135,397.824,0.896,23.808,206.20800000000003,170.112,466.176,0,2577,115,8,395,149,0,0,5,113,124,9620,120,365,1619.5330320000003
2016-09-01,0,328,123,409.34400000000005,1.408,21.376,203.776,167.68,404.224,0,2547,126,12,326,161,0,0,4,107,113,10043,148,355,1645.885244
2016-10-01,0,384,144,422.272,8.704,20.096,206.33599999999998,181.632,413.056,0,2457,138,8,316,134,0,0,0,113,126,9625,128,380,1604.1376280000002
2016-11-01,0,448,168,419.968,12.544,25.856,193.664,166.784,441.856,0,2663,136,9,392,192,0,0,0,111,135,10066,165,394,1702.735396
2016-12-01,0,304,114,414.20799999999997,7.5520000000000005,18.816,182.144,127.488,366.97600000000006,0,2389,108,3,282,140,0,0,3,112,104,8296,120,330,1416.040412
2017-01-01,0,320,120,434.944,1.792,26.112000000000002,176.128,162.688,396.928,0,2680,137,3,399,167,0,0,0,125,118,9711,134,371,1633.5189560000001
2017-02-01,0,296,111,414.72,1.28,23.168,196.992,153.728,366.976,0,2410,106,1,386,162,0,0,1,108,87,9131,135,380,1526.676152
2017-03-01,0,448,168,459.39200000000005,0.64,26.752,269.05600000000004,176.896,432.896,0,2924,148,4,0,0,0,0,2,117,105,10135,124,431,1685.007176
2017-04-01,0,248,93,397.952,0,25.088,260.096,140.288,384.384,0,2419,95,4,245,169,0,0,1,101,128,7830,124,351,1373.167744
2017-05-01,0,328,123,415.36,0,36.224000000000004,276.864,186.88,436.35200000000003,0,3031,114,3,331,192,0,0,0,113,142,9669,140,393,1680.68674
2017-06-01,0,296,111,430.464,0,23.68,209.79199999999997,175.616,430.976,0,2824,105,86,349,169,0,0,1,115,128,9478,146,459,1639.209204
2017-07-01,0,296,111,437.632,0,29.312,158.72,165.24800000000002,414.72,0,2587,109,81,360,150,0,0,0,107,101,9133,131,402,1558.618176
2017-08-01,0,304,114,446.20799999999997,0,23.68,174.464,174.464,425.47200000000004,0,2722,73,52,333,187,0,0,0,115,109,9133,144,402,1575.3563840000002
2017-09-01,0,296,111,435.84000000000003,0,24.576,188.032,161.152,372.224,0,2277,100,66,285,170,0,0,0,107,115,9039,135,378,1504.5169320000002
2017-10-01,0,440,165,436.992,8.704,25.728,189.05599999999998,162.43200000000002,441.6,0,2529,77,79,298,111,1199,4446,4,108,122,9965,134,353,2246.571016
2017-11-01,0,400,150,436.35200000000003,9.728,23.04,184.192,178.17600000000002,424.064,0,2532,104,82,314,139,1397,3368,0,112,143,10059,160,342,2168.821736
2017-12-01,0,464,174,411.776,7.168,15.488,161.024,116.864,344.44800000000004,0,2397,69,70,195,154,885,3535,0,106,113,7626,121,277,1819.112024
2018-01-01,30772.608,344,129,429.696,14.592,26.496000000000002,167.296,155.392,454.78400000000005,0,2884,108,84,390,168,1304,4139,0,121,150,10056,198,318,5529.662652
2018-02-01,26950.912,296,111,429.69599999999997,9.6,23.296,157.56799999999998,142.72,386.176,0,2530,84,73,335,174,1093,3889,0,117,148,9021,180,288,4899.311124
2018-03-01,28185.344,400,150,442.24,0,22.784,171.52,343.296,397.568,8.448,2982,85,88,391,153,1063,4259,0,120,104,9669,160,290,5220.6886
2018-04-01,26214.016,312,117,420.608,18.56,27.648,184.96,159.488,437.88800000000003,0,2791,43,77,381,136,1090,4364,0,125,183,9452,195,449,4977.296724
2018-05-01,27288.96,16,6,458.49600000000004,25.728,25.984,236.92800000000003,172.8,457.216,0,2563,60,78,365,152,1137,4623,0,158,162,10239,167,462,5154.108816
2018-06-01,26885.12,272,102,448,18.688,26.752,224,153.088,406.016,0,2533,56,85,344,227,1259,4417,0,114,189,9944,175,487,5102.577552000001
2018-07-01,27346.048000000003,392,147,474.368,17.536,23.808,248.96,162.944,428.416,0,2508,61,94,304,174,1158,4402,0,154,177,10259,205,462,5190.50294
2018-08-01,26376.96,352,132,469.504,16.64,26.624000000000002,243.072,161.15200000000002,438.4,0,2456,49,58,390,180,1091,4607,0,163,190,9777,199,549,5056.1246360000005
2018-09-01,27076.096,416,156,441.088,16.768,26.112000000000002,235.52,159.872,425.728,0,2169,47,68,305,133,1093,4400,0,128,165,9651,184,496,5042.075412000001
2018-10-01,33133.696,344,129,450.56,19.328,32.896,247.936,185.472,469.24800000000005,0,2553,74,84,323,173,1343,4444,0,149,234,10913,242,657,5929.219848000001
2018-11-01,31681.152000000002,464,174,444.544,21.12,29.184,283.776,169.984,445.184,0,2456,70,75,391,161,1359,4367,0,160,234,10524,268,558,5732.442092000001
2018-12-01,24372.096,280,105,450.816,16.128,29.056,261.12,149.888,375.424,0,1964,38,71,245,146,1089,4250,1,141,214,8785,223,465,4607.346204
2019-01-01,31359.744000000002,280,105,436.992,52.352000000000004,32.512,300.544,174.976,439.296,0,2446,44,95,407,174,1575,4615,0,145,250,10715,238,559,5743.885888000001
2019-02-01,27896.064000000002,248,93,441.088,33.152,26.368000000000002,277.888,168.32,395.776,0,2081,28,76,373,135,1319,3875,0,134,196,9542,200,533,5071.559708000001
2019-03-01,29401.728000000003,256,96,455.296,30.976,30.464000000000002,285.824,140.928,437.248,0,2242,35,69,324,196,1407,4220,0,158,193,9919,202,419,5329.697952
2019-04-01,27794.304,280,105,450.432,35.2,28.544,278.4,180.992,426.88000000000005,0,2351,27,44,337,174,1446,4230,0,133,224,9743,218,542,5174.643336000001
2019-05-01,28122.24,312,117,452.096,32.128,26.112000000000002,275.712,140.928,441.984,0,2357,45,65,374,197,1337,4197,0,152,224,10125,206,472,5240.311600000001
2019-06-01,26747.392,344,129,469.88800000000003,47.872,33.92,276.608,155.904,401.40799999999996,0,2209,32,64,313,206,1346,3905,0,144,201,9839,185,498,5016.313156
2019-07-01,29464.832000000002,392,147,477.824,48.512,30.592000000000002,266.24,170.112,434.56,0,1956,38,90,374,248,1409,4041,0,160,228,11297,241,557,5493.455896
2019-08-01,26365.312,360,135,491.776,29.44,26.368000000000002,262.4,163.71200000000002,427.00800000000004,0,1717,28,54,366,233,1188,4208,0,154,209,9870,230,463,4956.497188000001
2019-09-01,28899.456000000002,408,153,498.81600000000003,43.392,28.544,255.36,157.184,417.408,0,1841,34,63,309,239,1183,4434,0,153,220,10198,220,573,5309.62088
2019-10-01,34623.872,312,117,494.464,50.944,32.384,249.47200000000004,165.76,435.07200000000006,0,1946,42,65,433,230,1324,4985,0,151,193,11201,300,573,6110.978624
2019-11-01,31623.552,352,132,483.84,62.976,31.104,251.64800000000002,166.016,424.96,0,1616,33,78,422,279,1277,4098,0,170,228,10385,209,566,5579.799628000001
2019-12-01,27038.336,384,144,477.824,63.36,27.264,255.872,156.8,396.03200000000004,0,1189,31,67,283,285,1000,4374,0,137,228,8985,234,512,4881.325484
2020-01-01,31267.712,360,135,493.312,58.496,27.776,272.25600000000003,183.168,434.30400000000003,0,1293,27,70,423,317,1361,4662,0,184,229,11258,221,626,5686.769032
2020-02-01,27471.232,304,114,475.008,52.992000000000004,30.976,275.712,159.36,405.76000000000005,0,1180,30,63,379,291,1165,4173,0,132,236,10196,207,554,5052.92672
2020-03-01,26957.440000000002,352,132,391.168,42.368,23.168,212.096,132.224,345.728,0,1393,27,63,241,358,1038,3861,0,138,149,9286,129,389,4817.150256
2020-04-01,18204.288,360,135,260.86400000000003,13.696,2.688,73.72800000000001,10.24,131.84,0,1900,7,27,28,149,493,3087,0,86,35,6321,58,94,3320.859792
2020-05-01,19382.656,360,135,194.17600000000002,18.816,0.512,92.16,26.112000000000002,165.76000000000002,0,1753,5,5,13,277,465,4062,0,95,69,6015,72,124,3516.3352560000003
2020-06-01,23910.912,304,114,234.752,36.352000000000004,7.04,115.84,54.912,199.80800000000002,0,1865,6,8,1,429,640,4309,0,129,107,7350,111,253,4239.582488
2020-07-01,25445.632,304,114,251.52,63.104,8.32,152.704,70.4,270.208,0,1948,9,15,0,613,1044,4462,1,122,118,7645,143,338,4551.047184
2020-08-01,23553.536,368,138,367.104,60.416000000000004,11.008000000000001,173.44,104.44800000000001,277.37600000000003,0,1594,3,14,1,541,928,4061,0,159,137,6881,143,256,4195.875104000001
2020-09-01,29094.016,344,129,395.904,65.792,13.568,184.32,181.12,311.42400000000004,0,1762,19,15,0,0,1078,3795,0,154,168,9075,166,353,4990.587192
2020-10-01,34364.16,456,171,15.488,0,0,55.68,59.904,59.136,0,1845,14,22,0,0,1174,4181,0,142,178,9518,168,437,5576.768824000001
2020-11-01,28545.152000000002,320,120,22.528,0,0,59.648,61.824,62.080000000000005,0,2041,17,30,0,0,979,3967,0,182,264,9125,175,568,4909.888976000001
2020-12-01,26512.64,376,141,18.048000000000002,0,0,50.432,41.856,62.208,0,1874,10,33,0,0,924,4370,0,172,215,8071,183,459,4590.640912
